NUMBER,ID MENTEE,ID MENTOR,RATING,,RATING HELPER
1,B36652,A16227,3,,4
2,B74044,A97882,3,,3
3,B52610,A24331,5,,3
4,B75165,A39784,3,,5
5,B63240,A98819,3,,5
6,B36652,A73041,3,,3
7,B66807,A19425,3,,3
8,B57106,A51583,3,,4
9,B87914,A19425,5,,5
10,B55161,A73467,4,,4
11,B49619,A24513,3,,3
12,B78687,A51583,4,,5
13,B30726,A20256,5,,4
14,B15401,A62677,5,,3
15,B69195,A30458,5,,3
16,B86900,A45646,3,,3
17,B22149,A20256,3,,4
18,B75933,A90160,3,,4
19,B73076,A17202,4,,3
20,B71081,A22996,5,,4
21,B72193,A39784,4,,5
22,B25744,A56161,3,,3
23,B61521,A73598,4,,4
24,B89059,A57286,4,,5
25,B70109,A82637,4,,3
26,B77360,A92747,4,,5
27,B34543,A88752,5,,4
28,B68815,A81349,3,,5
29,B71567,A33637,5,,5
30,B72690,A38392,4,,3
31,B78687,A97882,4,,4
32,B63077,A19425,5,,3
33,B89059,A27383,3,,4
34,B22671,A80423,4,,5
35,B89702,A31187,5,,5
36,B44112,A62677,3,,4
37,B73076,A12792,3,,4
38,B40985,A92747,4,,4
39,B89059,A31187,5,,4
40,B69195,A97882,4,,4
41,B34913,A90160,4,,5
42,B34913,A28409,3,,4
43,B14293,A39559,5,,5
44,B80176,A70694,3,,3
45,B37656,A12792,4,,3
46,B87914,A74768,5,,4
47,B75933,A81349,3,,5
48,B71567,A17202,5,,4
49,B18229,A21851,4,,4
50,B64320,A70822,4,,5
51,B63077,A16227,5,,4
52,B61712,A60653,5,,3
53,B39662,A53755,5,,5
54,B42532,A82637,5,,5
55,B18229,A88752,5,,3
56,B17434,A73598,3,,3
57,B42987,A92747,4,,4
58,B48525,A51583,4,,3
59,B14364,A60653,5,,3
60,B95349,A97882,3,,4
61,B34623,A88752,5,,3
62,B30726,A98765,3,,4
63,B11532,A81349,5,,3
64,B74082,A73041,3,,3
65,B12771,A20256,5,,4
66,B19086,A80423,5,,4
67,B12771,A25108,5,,5
68,B69727,A82637,4,,5
69,B14293,A38392,4,,4
70,B20478,A70822,3,,3
71,B77360,A70822,5,,5
72,B43459,A97882,3,,3
73,B57106,A25942,3,,3
74,B11532,A56161,3,,3
75,B66807,A78329,4,,5
76,B95533,A80423,5,,3
77,B77360,A14069,5,,4
78,B80176,A20253,4,,5
79,B34543,A14069,3,,4
80,B78609,A27383,3,,3
81,B63894,A17202,3,,5
82,B42987,A33637,4,,4
83,B38657,A23866,5,,5
84,B95123,A92747,4,,5
85,B46503,A57286,4,,4
86,B25534,A20256,5,,3
87,B71331,A73467,3,,3
88,B92364,A12792,3,,5
89,B14364,A16227,5,,5
90,B87914,A89617,3,,4
91,B61521,A16227,4,,3
92,B98465,A16943,3,,4
93,B71331,A12393,3,,4
94,B49785,A45646,3,,3
95,B49960,A15364,3,,4
96,B74044,A25108,5,,4
97,B82924,A19762,4,,5
98,B97154,A82450,5,,5
99,B63894,A23866,3,,5
100,B84121,A15364,3,,4
101,B13633,A39784,3,,4
102,B83097,A20253,4,,5
103,B90720,A51583,3,,5
104,B14364,A43196,4,,3
105,B80176,A12393,5,,5
106,B43459,A45646,3,,5
107,B69195,A38392,4,,3
108,B62409,A16227,5,,4
109,B64320,A24513,5,,3
110,B93251,A22996,5,,5
111,B61521,A74768,3,,4
112,B62409,A39784,3,,5
113,B87914,A16227,4,,3
114,B25637,A70694,5,,3
115,B30726,A31187,3,,4
